State,City,Lat,Lon,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
CA,Covina,34.08743,-117.88991,0,0,1,1,1,1,1,3,3,4,3,3,6,8,7,9,11,11
CA,Crestview,34.046953,-118.381232,0,0,1,1,4,5,6,7,7,9,7,9,11,13,13,15,17,20
CA,Downtown,34.041218,-118.247121,0,0,0,1,1,1,2,3,6,7,8,9,10,11,14,15,15,17
CA,Eagle Rock,34.13927,-118.21087,0,1,1,1,1,1,2,2,2,3,4,8,8,8,10,11,13,14
CA,East Los Angeles,34.03347,-118.15909,0,0,1,1,1,2,2,3,3,4,6,8,9,11,14,16,23,28
CA,Echo Park,34.07609,-118.25581,0,0,1,1,1,1,2,2,4,7,1,1,1,5,5,6,6,8
CA,El Segundo,33.916722,-118.39768,0,0,0,1,2,1,1,2,2,2,1,1,1,1,1,1,1,5
CA,Gardena,33.88379,-118.30702,1,1,1,1,1,1,1,1,1,4,5,6,6,7,12,14,17,20
CA,Koreatown,34.05779,-118.30091,1,1,1,1,1,2,3,5,5,7,7,10,10,13,14,18,21,26
CA,Lake Balboa,34.201013,-118.501168,0,0,0,1,1,1,2,2,2,3,3,6,8,11,11,14,16,19
CA,Lakewood,33.853384,-118.134851,0,0,0,1,1,1,1,3,4,7,8,11,12,13,16,18,21,24
CA,Lawndale,33.89862,-118.35385,0,0,1,1,1,1,2,2,1,2,2,3,4,4,6,7,8,10
CA,Lynwood,33.925424,-118.200528,0,1,1,1,1,2,2,2,3,6,8,13,14,16,18,20,21,23
CA,Miracle Mile,34.059527,-118.350179,0,0,0,1,1,4,5,7,8,13,7,8,9,10,12,12,12,13
CA,Northridge,34.23503,-118.53386,1,1,1,1,1,1,1,2,2,4,7,8,8,8,9,12,14,17
CA,Palms,34.01986,-118.42096,0,0,1,1,1,1,2,6,8,10,12,15,20,21,25,27,28,33
CA,Playa Vista,33.97395,-118.43038,0,0,1,1,2,2,3,4,5,8,5,5,5,5,7,7,7,8
CA,Redondo Beach,33.84757,-118.388255,0,0,0,1,2,4,5,7,9,20,23,24,29,34,39,50,54,60
CA,San Dimas,34.10668,-117.80298,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,6,6
CA,San Fernando,34.282047,-118.439938,0,0,0,1,1,1,1,2,3,3,#N/A,#N/A,1,1,1,5,5,6
CA,San Pedro,33.73787,-118.28461,1,1,1,1,1,1,2,2,4,5,8,9,10,11,14,14,19,25
CA,South El Monte,34.04644,-118.04326,0,0,1,1,1,1,1,1,3,4,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,1-4
CA,South Whittier,33.937414,-118.031273,0,0,0,1,1,1,2,2,3,4,3,5,5,5,7,8,9,11
CA,Stevenson Ranch,34.39001,-118.57889,0,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,5,6
CA,Sylmar,34.3102,-118.45308,0,0,1,1,1,1,1,1,1,2,4,8,15,18,25,30,35,42
CA,Tujunga,34.25183,-118.29097,0,0,1,1,1,1,1,1,1,2,2,2,3,4,5,5,5,7
CA,University Park,34.02819,-118.28397,0,0,1,1,1,1,1,1,4,6,4,5,5,6,12,14,15,16
CA,Van Nuys,34.18439,-118.44652,0,0,1,1,2,2,4,4,4,4,4,6,7,10,13,17,22,26
CA,Vermont Knolls,33.927793,-118.289294,0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,5,7,7
CA,West Adams,34.02798,-118.35314,1,1,1,1,2,1,1,3,4,6,6,7,7,9,12,14,15,16
CA,West Vernon,34.003674,-118.3250139,1,1,1,1,2,2,2,4,5,6,6,8,8,9,13,15,17,22
CA,Winnetka,34.205025,-118.572276,0,0,0,1,1,1,1,2,3,5,3,8,9,9,10,11,15,18
CA,Silver Lake,34.087114,-118.270688,0,0,0,0,3,3,4,5,6,11,12,#N/A,16,18,20,#N/A,#N/A,#N/A
CA,Del Ray,33.985995,-118.425083,0,0,0,0,2,2,2,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,La Canada Flintridge,34.207554,-118.200643,0,0,0,0,1,1,2,2,3,6,5,7,7,8,8,8,8,9
CA,Sun Valley,34.228056,-118.381256,0,0,0,0,1,1,2,2,2,2,3,5,6,6,8,9,10,11
CA,Sunland,34.257221,-118.282433,0,0,0,0,1,1,1,1,1,1,#N/A,1,1,1,5,8,9,10
CA,Cerritos,33.858266,-118.064606,0,0,0,0,1,2,2,2,2,2,1,1,4,5,6,8,10,11
CA,Vermont Central,34.051259,-118.291691,0,0,0,0,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Vernon Central,34.003973,-118.256502,0,0,0,0,1,1,1,1,1,1,3,3,3,4,5,5,7,8
CA,West Covina,34.068789,-117.939134,0,0,0,0,1,1,1,1,2,4,5,5,6,7,7,7,7,8
CA,La Verne,34.100998,-117.768361,0,0,0,0,1,2,2,2,2,2,1,1,1,2,2,2,2,2
CA,Westlake,34.146574,-118.807287,0,0,0,0,1,1,1,1,1,1,1,2,5,7,10,13,20,23
CA,East Hollywood,34.091212,-118.29364,0,0,0,0,0,1,1,1,1,2,3,5,6,10,13,12,12,14
CA,South Gate,33.954784,-118.211751,0,0,0,0,0,1,1,1,2,4,4,11,12,14,19,25,30,35
CA,Los Feliz,34.106239,-118.285284,0,0,0,0,0,1,2,2,3,5,6,5,8,11,13,14,16,19
CA,Glendora,34.135926,-117.865647,0,0,0,0,0,1,1,1,2,2,4,4,6,6,7,7,7,10
CA,Temple,34.107369,-118.058126,0,0,0,0,0,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Paramount,33.889391,-118.160065,0,0,0,0,0,1,2,2,3,4,5,5,6,7,8,10,13,17
CA,Canoga Park,34.20833,-118.605961,0,0,0,0,0,1,2,2,2,3,2,3,3,4,7,10,16,20
CA,Bellflower,33.881738,-118.117111,0,0,0,0,0,1,3,3,7,8,10,12,14,17,20,23,24,26
CA,Athens,33.920014,-118.28127,0,0,0,0,0,1,1,1,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Ranchos Palos Verdes,33.745103,-118.387141,0,0,0,0,0,1,1,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Wilmington,33.785925,-118.264561,0,0,0,0,0,1,3,4,4,5,5,7,10,10,12,13,13,16
CA,Duarte,34.139665,-117.977588,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1-4
CA,South Park,34.041835,-118.264455,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,11,12,15
CA,Palmdale,34.57963,-118.116545,0,0,0,0,0,0,1,2,2,2,4,6,7,9,14,18,20,27
CA,Agoura Hills,34.153686,-118.762795,0,0,0,0,0,0,1,3,3,5,6,9,9,9,11,10,14,16
CA,Cloverdale/Cochran,34.050876,-118.350618,0,0,0,0,0,0,1,2,3,3,1,1,#N/A,#N/A,#N/A,5,5,8
CA,Lincoln Heights,34.073436,-118.211861,0,0,0,0,0,0,1,1,#N/A,1,1,1,2,2,4,5,6,6
CA,Century Palms/Cove,33.924429,-118.265202,0,0,0,0,0,0,1,1,3,3,3,5,8,8,10,11,11,13
CA,Compton,33.896092,-118.222153,0,0,0,0,0,0,1,1,2,5,7,9,11,13,16,19,24,26
CA,Hyde Park,33.980675,-118.330588,0,0,0,0,0,0,1,1,1,1,2,2,4,6,7,8,10,10
CA,Exposition Park,34.015063,-118.285995,0,0,0,0,0,0,1,1,1,2,2,4,4,4,7,8,13,17
CA,Florence,33.974494,-118.248172,0,0,0,0,0,0,1,1,4,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Wilshire Center,34.065136,-118.300512,0,0,0,0,0,0,1,1,2,2,4,4,5,8,8,12,15,17
CA,Vermont Vista,33.94556,-118.282369,0,0,0,0,0,0,0,3,3,5,2,3,5,5,6,7,7,8
CA,Mt Washington,34.104587,-118.214422,0,0,0,0,0,0,0,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Claremont,34.096716,-117.719884,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4
CA,San Gabriel,34.095955,-118.104713,0,0,0,0,0,0,0,1,1,3,5,6,6,6,6,6,7,7
CA,Highland Park,34.115533,-118.184383,0,0,0,0,0,0,0,1,2,3,5,6,8,9,9,9,10,11
CA,Harvard Heights,34.04233,-118.304104,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,5,6,8
CA,Harbor Gateway,33.869197,-118.287594,0,0,0,0,0,0,0,1,2,3,4,4,4,6,9,9,11,13
CA,Porter Ranch,34.282083,-118.551662,0,0,0,0,0,0,0,1,1,2,2,3,6,6,8,8,12,12
CA,La Puente,34.020472,-117.94932,0,0,0,0,0,0,0,1,#N/A,1,1,2,3,3,3,6,7,8
CA,Pico Rivera,33.983051,-118.097071,0,0,0,0,0,0,0,1,1,2,2,5,5,6,9,14,15,17
CA,Pico,34.377466,-118.611968,0,0,0,0,0,0,0,1,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Downey,33.939975,-118.133393,0,0,0,0,0,0,0,1,5,10,12,18,19,25,31,37,43,47
CA,Wholesale District,34.042055,-118.232632,0,0,0,0,0,0,0,1,4,6,8,11,12,10,10,10,12,13
CA,Willowbrook,33.916421,-118.254544,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,6,8
CA,Norwalk,33.902323,-118.082611,0,0,0,0,0,0,0,1,2,9,9,12,12,15,21,21,26,30
CA,Canyon Country,34.423629,-118.47206,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5
CA,Bell Gardens,33.965365,-118.151618,0,0,0,0,0,0,0,0,3,3,1,1,1,2,4,5,5,8
CA,Temple City,34.106729,-118.061044,0,0,0,0,0,0,0,0,3,6,#N/A,1,2,1,1,1,1,3
CA,Crenshaw District,34.018292,-118.340259,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,5,7,7
CA,Valinda,34.045316,-117.943064,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1-4
CA,Panorama City,34.227717,-118.442481,0,0,0,0,0,0,0,0,1,4,4,4,6,7,7,11,16,19
CA,Watts,33.938769,-118.238261,0,0,0,0,0,0,0,0,1,1,1,1,2,2,7,7,11,12
CA,Pomona,34.05519,-117.75004,0,0,0,0,0,0,0,0,1,3,4,4,4,5,10,13,15,22
CA,Arleta,34.250676,-118.433973,0,0,0,0,0,0,0,0,1,2,2,4,5,5,7,7,7,10
CA,Del Rey,33.986206,-118.424955,0,0,0,0,0,0,0,0,0,9,9,10,12,14,16,17,20,22
CA,Rancho Palos Verdes,33.744701,-118.387211,0,0,0,0,0,0,0,0,0,6,7,8,8,10,13,16,20,22
CA,Mt. Washington,34.099337,-118.220394,0,0,0,0,0,0,0,0,0,3,#N/A,1,1,1,1,1,1,6
CA,Hacienda Heights,33.992976,-117.968713,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,8,12,12
CA,Monrovia,34.144288,-118.001607,0,0,0,0,0,0,0,0,0,2,4,4,4,4,5,7,7,8
CA,Leimert Park,34.0107,-118.323365,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,7,10,12
CA,Bell,33.97803,-118.187027,0,0,0,0,0,0,0,0,0,2,4,5,6,11,12,12,14,14
CA,Glassell Park,34.109259,-118.233421,0,0,0,0,0,0,0,0,0,2,4,7,7,8,11,16,18,22
CA,Chatsworth,34.250522,-118.614264,0,0,0,0,0,0,0,0,0,1,3,4,8,10,14,18,20,19
CA,Pacoima,34.27651,-118.410417,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,7,8,16
CA,Azusa,34.133571,-117.907475,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,8,8
CA,West Whittier/Los Nietos,33.980102,-118.067987,0,0,0,0,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,3
CA,Montebello,34.016471,-118.113802,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,7,9,10
