State,City,Lat,Lon,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
CA,Longwood,33.866975,-118.20371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1-4
CA,North Whittier,34.020574,-118.034698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1-4
CA,Regent Square,33.965144,-118.365601,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1-4
CA,Del Aire,33.916074,-118.36949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1-4
CA,Commerce,34.000485,-118.159679,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#N/A,#N/A
CA,Cadillac-Corning,34.039247,-118.380754,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1-4
CA,Baldwin Park,34.08515,-117.960596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7
CA,Little Armenia,34.098336,-118.300499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
CA,Sierra Madre,34.161968,-118.052617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,Sun Village,34.557956,-117.95803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,East La Mirada,33.924258,-117.988754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,Westlake Village,34.146209,-118.80574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,Chinatown,34.062573,-118.238166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,Santa Fe Springs,33.947517,-118.085135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,Athens Village,33.919979,-118.281141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1-4
CA,View Park/Windsor Hills,33.999521,-118.343259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8
CA,South San Gabriel,34.049509,-118.094801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
CA,Historic Filipinotown,34.070368,-118.268145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6
CA,Northeast San Gabriel,34.096235,-118.105101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,Twin Lakes/Oat Mountain,34.306287,-118.601403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,Rosewood,33.904631,-118.248488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,Faircrest Heights,34.047691,-118.371019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,El Camino Village,33.889634,-118.330864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,East Rancho Dominguez,33.896095,-118.193491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,West Antelope Valley,34.754225,-118.252196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,West Puente Valley,34.056302,-117.968588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,Covina (Charter Oak),34.099336,-117.845993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1-4
CA,Saugus,34.41366,-118.540435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1-4
CA,Lake Los Angeles,34.612285,-117.827938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1-4
CA,La Crescenta-Montrose,34.228777,-118.235096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1-4
CA,Acton,34.470113,-118.196649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1-4
CA,Walnut Park,33.968871,-118.222326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1-4
